DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
15,4,2012,14,15,8.58,779,15,0,2511,
15,4,2012,15,16,5.63,739,16,0,2512,
15,4,2012,16,17,4.26,570,17,0,2513,
15,4,2012,17,18,2.67,366,18,0,2514,
15,4,2012,18,19,0.12,241,19,0,2515,
15,4,2012,19,20,0.26,81,20,0,2516,
15,4,2012,20,21,0,16,21,0,2517,
15,4,2012,21,22,0,0,22,0,2518,
15,4,2012,22,23,0,0,23,0,2519,
15,4,2012,23,24,0,0,24,0,2520,
16,4,2012,0,1,0,0,1,0,2521,
16,4,2012,1,2,0,0,2,0,2522,
16,4,2012,2,3,0,0,3,0,2523,
16,4,2012,3,4,0,0,4,0,2524,
16,4,2012,4,5,0,0,5,0,2525,
16,4,2012,5,6,0,0,6,0,2526,
16,4,2012,6,7,0,9,7,0,2527,
16,4,2012,7,8,0,68,8,0,2528,
16,4,2012,8,9,0.06,150,9,0,2529,
16,4,2012,9,10,0.48,360,10,0,2530,
16,4,2012,10,11,2.42,445,11,0,2531,
16,4,2012,11,12,6.46,665,12,0,2532,
16,4,2012,12,13,4.24,659,13,0,2533,
16,4,2012,13,14,7.35,624,14,0,2534,
16,4,2012,14,15,6.56,768,15,0,2535,
16,4,2012,15,16,4.94,700,16,0,2536,
16,4,2012,16,17,6.04,665,17,0,2537,
16,4,2012,17,18,1.61,383,18,0,2538,
16,4,2012,18,19,0.61,157,19,0,2539,
16,4,2012,19,20,0.02,75,20,0,2540,
16,4,2012,20,21,0,12,21,0,2541,
16,4,2012,21,22,0,0,22,0,2542,
16,4,2012,22,23,0,0,23,0,2543,
16,4,2012,23,24,0,0,24,0,2544,
17,4,2012,0,1,0,0,1,0,2545,
17,4,2012,1,2,0,0,2,0,2546,
17,4,2012,2,3,0,0,3,0,2547,
17,4,2012,3,4,0,0,4,0,2548,
17,4,2012,4,5,0,0,5,0,2549,
17,4,2012,5,6,0,0,6,0,2550,
