DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
14,11,2012,6,7,0,0,7,0,7615,
14,11,2012,7,8,0,0,8,0,7616,
14,11,2012,8,9,0,0,9,0,7617,
14,11,2012,9,10,0,0,10,0,7618,
14,11,2012,10,11,0,0,11,0,7619,
14,11,2012,11,12,0,0,12,0,7620,
14,11,2012,12,13,0,0,13,0,7621,
14,11,2012,13,14,0,0,14,0,7622,
14,11,2012,14,15,0,0,15,0,7623,
14,11,2012,15,16,0,0,16,0,7624,
14,11,2012,16,17,0,0,17,0,7625,
14,11,2012,17,18,0,0,18,0,7626,
14,11,2012,18,19,0,0,19,0,7627,
14,11,2012,19,20,0,0,20,0,7628,
14,11,2012,20,21,0,0,21,0,7629,
14,11,2012,21,22,0,0,22,0,7630,
14,11,2012,22,23,0,0,23,0,7631,
14,11,2012,23,24,0,0,24,0,7632,
15,11,2012,0,1,0,0,1,0,7633,
15,11,2012,1,2,0,0,2,0,7634,
15,11,2012,2,3,0,0,3,0,7635,
15,11,2012,3,4,0,0,4,0,7636,
15,11,2012,4,5,0,0,5,0,7637,
15,11,2012,5,6,0,0,6,0,7638,
15,11,2012,6,7,0,0,7,0,7639,
15,11,2012,7,8,0,0,8,0,7640,
15,11,2012,8,9,0,0,9,0,7641,
15,11,2012,9,10,0,0,10,0,7642,
15,11,2012,10,11,0,0,11,0,7643,
15,11,2012,11,12,0,0,12,0,7644,
15,11,2012,12,13,0,0,13,0,7645,
15,11,2012,13,14,0,0,14,0,7646,
15,11,2012,14,15,0,0,15,0,7647,
15,11,2012,15,16,0,0,16,0,7648,
15,11,2012,16,17,0,0,17,0,7649,
15,11,2012,17,18,0,0,18,0,7650,
15,11,2012,18,19,0,0,19,0,7651,
15,11,2012,19,20,0,0,20,0,7652,
15,11,2012,20,21,0,0,21,0,7653,
15,11,2012,21,22,0,0,22,0,7654,
15,11,2012,22,23,0,0,23,0,7655,
15,11,2012,23,24,0.01,1,24,0,7656,
16,11,2012,0,1,0,0,1,0,7657,
16,11,2012,1,2,0,0,2,0,7658,
16,11,2012,2,3,0,1,3,0,7659,
16,11,2012,3,4,0,0,4,0,7660,
16,11,2012,4,5,0,0,5,0,7661,
16,11,2012,5,6,0,0,6,0,7662,
16,11,2012,6,7,0,0,7,0,7663,
16,11,2012,7,8,0,0,8,0,7664,
16,11,2012,8,9,0,0,9,0,7665,
16,11,2012,9,10,0,0,10,0,7666,
16,11,2012,10,11,0,0,11,0,7667,
16,11,2012,11,12,0,0,12,0,7668,
16,11,2012,12,13,0,0,13,0,7669,
16,11,2012,13,14,0,0,14,0,7670,
16,11,2012,14,15,0,0,15,0,7671,
16,11,2012,15,16,0,0,16,0,7672,
16,11,2012,16,17,0,0,17,0,7673,
16,11,2012,17,18,0,0,18,0,7674,
16,11,2012,18,19,0,0,19,0,7675,
16,11,2012,19,20,0,0,20,0,7676,
16,11,2012,20,21,0,0,21,0,7677,
16,11,2012,21,22,0,0,22,0,7678,
16,11,2012,22,23,0,0,23,0,7679,
16,11,2012,23,24,0,0,24,0,7680,
17,11,2012,0,1,0,0,1,0,7681,
17,11,2012,1,2,0,0,2,0,7682,
